Город;id вуза;Аббревиатура;Крупное направление;Направление подготовки;id профиля;Профиль;Факультет;Есть набор в 2020 году;2020 очная Прох.балл Бюджет 1 волна;2020 очная Прох.балл Бюджет 2 волна;2020 очная Прох.балл Платно ;2020 очная Число мест Бюджет ;2020 очная Число мест Платно ;2020 очная Конкурс Бюджет ;2020 очная Конкурс Платно ;2020 очная Срок  ;2020 очная Стоимость  ;2020 очно-заочная Прох.балл Бюджет ;2020 очно-заочная Число мест Бюджет ;2020 очно-заочная Число мест Платно ;2020 очно-заочная Срок  ;2020 очно-заочная Стоимость  ;2020 заочная Прох.балл Бюджет ;2020 заочная Число мест Бюджет ;2020 заочная Число мест Платно ;2020 заочная Срок  ;2020 заочная Стоимость  ;Адрес обучения по данному профилю;Содержание программы;Профессии;Min балл  Мат;Min балл Рус;Min балл Общ;Min балл Физ;Min балл Био;Min балл Ист;Min балл Иняз;Min балл Хим;Min балл Лит;Min балл Инф;Min балл Гео;Мат;Рус;Общ;Физ;Био;Ист;Иняз;Хим;Лит;Инф;Гео;ДВИ1;ДВИ2;ДВИ3;ДВИ4;ДВИ5;ДВИ6;ДВИ7;Золотая медаль;Значок ГТО;Перечневая олимпиада;Волонтерство;Итоговое сочинение;КОНЕЦ ТАБЛИЦЫ
г. Владикавказ;0783;СОГУ им. Хетагурова;Языки и литература;45.03.01 Филология;212870;Отечественная филология (осетинский язык и литература);Факультет осетинской филологии;Да;180;178;159;9;Есть;;;4;94000;Набора не было;0;0;;;Набора не было;0;0;;;г. Владикавказ, ул. Ватутина, д. 44-46;;;;40;;;;;;;40;;;0;1;0;0;0;0;0;0;2;0;0;Творческий экзамен;;;;;;;5;1;5;1;0;
г. Владикавказ;0783;СОГУ им. Хетагурова;Театральное искусство и режиссура;52.05.01 Актерское искусство;212963;Артист драматического театра и кино;Факультет искусств;Да;200;200;;8;;;;4;184000;Набора не было;0;0;;;Набора не было;0;0;;;г. Владикавказ, ул. Ватутина, д. 46;;;;40;;;;;;;40;;;0;1;0;0;0;0;0;0;2;0;0;Творческий экзамен;;;;;;;5;1;5;1;0;
г. Владикавказ;0783;СОГУ им. Хетагурова;Дизайн и изобразительное искусство;54.05.02 Живопись;213013;Станковая живопись;Факультет искусств;Да;217;215;;5;;;;6;184000;Набора не было;0;0;;;Набора не было;0;0;;;г. Владикавказ, ул. Ватутина, д. 46;;;;40;;;;;;;40;;;0;1;0;0;0;0;0;0;2;0;0;Творческий экзамен;;;;;;;5;1;5;1;0;
г. Владикавказ;0783;СОГУ им. Хетагурова;Педагогические науки;44.03.01 Педагогическое образование;212524;Изобразительное искусство ;Факультет искусств;Да;167;165;151;9;Есть;;;4;94000;Набора не было;0;0;;;Набора не было;0;0;;;г. Владикавказ, ул. Ватутина, д. 46;;;;40;45;;;;;;;;;0;1;2;0;0;0;0;0;0;0;0;Творческий экзамен;;;;;;;5;1;5;1;0;
г. Владикавказ;0783;СОГУ им. Хетагурова;Технологии легкой промышленности;29.03.05 Конструирование изделий легкой промышленности;211791;Конструирование швейных изделий;Физико-технический факультет;Да;Набора не было;Набора не было;153;0;Есть;;;4;110000;Набора не было;0;0;;;Набора не было;0;0;;;г. Владикавказ, ул. Маркуса, д. 24;;;39;40;;;;;;;;;;2;1;0;0;0;0;0;0;0;0;0;Творческий экзамен;;;;;;;5;1;5;1;0;
г. Владикавказ;0783;СОГУ им. Хетагурова;Дизайн и изобразительное искусство;54.03.01 Дизайн;213000;Дизайн;Физико-технический факультет;Нет;Набора не было;Набора не было;Набора не было;0;0;;;;;Набора не было;0;0;;;Набора не было;0;0;;;г. Владикавказ, ул. Маркуса, д. 24;;;;40;;;;;;;40;;;0;1;0;0;0;0;0;0;2;0;0;Творческий экзамен;;;;;;;5;1;5;1;0;
г. Владикавказ;0783;СОГУ им. Хетагурова;Языки и литература;45.03.01 Филология;212869;Отечественная филология (русский язык и литература);Факультет русской филологии;Да;207;201;126;13;Есть;;;4;94000;Набора не было;0;0;;;Набора не было;0;Есть;4,5;28000;г. Владикавказ, ул. Ватутина, д. 44-46;;;;40;45;;;;;;40;;;0;1;1;0;0;0;0;0;2;0;0;;;;;;;;5;1;5;1;0;
г. Владикавказ;0783;СОГУ им. Хетагурова;Педагогические науки;44.03.01 Педагогическое образование;212522;Дошкольное образование;Психолого-педагогический факультет;Да;159;145;;10;;;;4;94000;Набора не было;0;0;;;162;11;Есть;4,5;28000;г. Владикавказ, ул. Ватутина, д. 44-46;;;39;40;45;;;;;;;;;1;1;2;0;0;0;0;0;0;0;0;;;;;;;;5;1;5;1;0;
г. Владикавказ;0783;СОГУ им. Хетагурова;Педагогические науки;44.03.01 Педагогическое образование;212521;Начальное образование (в русской школе);Психолого-педагогический факультет;Да;143;133;;23;;;;4;94000;Набора не было;0;0;;;144;12;Есть;4,5;28000;г. Владикавказ, ул. Ватутина, д. 44-46;;;39;40;45;;;;;;;;;1;1;2;0;0;0;0;0;0;0;0;;;;;;;;5;1;5;1;0;
г. Владикавказ;0783;СОГУ им. Хетагурова;Социология и социальная работа;39.03.02 Социальная работа;212309;Социальная работа в системе социальных служб;Психолого-педагогический факультет;Да;Набора не было;Набора не было;Набора не было;0;0;;;;;Набора не было;0;0;;;183;16;Есть;4,5;28000;г. Владикавказ, ул. Ватутина, д. 44-46;;;;40;45;;;35;;;;;;0;1;1;0;0;2;0;0;0;0;0;;;;;;;;5;1;5;1;0;
